カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
金融・保険,株式会社静岡銀行,"静岡銀行が「PKSHA AIヘルプデスク」による生成AIを活用したドキュメント検索・回答生成機能を
                                                                ...","静岡銀行は「PKSHA
                                                                AIヘルプデスク」による生成AIを活用したドキュメント検索・回答生成機能を全店で本格導入しました。これにより、問合せの自動化率を向上させ、生産性と従業員満足度の向上を目指しています。",業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000154.000022705.html),S saeki kazuhiro
製造,株式会社日立製作所,日立とマイクロソフトが、生成AIでビジネスと社会イノベーションを加速するための契約を締結,"株式会社日立製作所とマイクロソフトが生成AIを活用した社会イノベーションを加速するための戦略的パートナーシップを締結しました。日立はマイクロソフトのクラウドサービスをLumadaソリューションに組み込み、業務効率化や生産性向上を目指します。また、生成AIスキルを持つ「GenAI
                                                                Professional」を育成し、エネルギーやモビリティ、鉄道などの分野で革新的なソリューションを提供する予定です。",既存事業の価値向上 業務プロセス改善,hitachi.co.jp/New…c.html (https://www.hitachi.co.jp/New/cnews/month/2024/06/0604c.html),茨 茨木雄太
金融・保険,イーデザイン損害保険株式会社,イーデザイン損保とNTT Com、生成AIを活用した顧客接点の高度化の実証実験を実施,イーデザイン損害保険株式会社とNTTコミュニケーションズ株式会社は、生成AIを活用した顧客接点の高度化を目指し、実証実験を実施しました。自動車保険の車両入替業務をユースケースとし、生成AIを搭載したバーチャルコンシェルジュの精度を検証しました。実験は2024年1月から3月にかけて行われ、対話精度やバーチャルコンシェルジュのデザイン、安心・安全な対話の実現について評価されました。結果として、将来的に商用化が可能な水準と評価され、実用化を目指すとしています。,既存事業の価値向上,atpress.ne.jp/news/396737 (https://www.atpress.ne.jp/news/396737),S saeki kazuhiro
テクノロジー,株式会社Lipply,"生成AIを活用したWEB素材サービス「Another Earth」を新たに開始 - PR
                                                                TIMES","株式会社Lipplyは、生成AIを活用したWEB素材サービス「Another
                                                                Earth」を開始しました。高品質な生成AI素材を提供し、WEBページやWEBマーケティング向けに国内外で展開します。独自プロンプトを使用し、類似素材がないことを確認した素材を提供。企業向けにはオーダーメイド素材作成サービスも提供しています。将来的にはNFTへの参入も視野に入れています。",新規事業の創出,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000003.000091241.html),茨 茨木雄太
テクノロジー,ナイル株式会社,ナイル、生成AI導入支援サービス「生成AIコンサルティング」を日本トイザらス株式会社へ提供開始,ナイル株式会社は、日本トイザらス株式会社に対し、生成AI導入支援サービス「生成AIコンサルティング」を提供開始しました。このサービスは、生成AIを活用した業務改善と事業成長の支援を目的としており、業務の特定からプロトタイプ開発までを一貫してサポートします。,業務プロセス改善,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000536.000055900.html),茨 茨木雄太
金融・保険,東海東京フィナンシャル・ホールディングス株式会社,"東海東京フィナンシャル・ホールディングスが「exaBase IRアシスタント」を導入 - PR
                                                                TIMES","東海東京フィナンシャル・ホールディングス株式会社が、生成AIを活用したIR業務特化のサービス「exaBase
                                                                IRアシスタント」を導入しました。これにより、IR業務の手元資料作成プロセスを変革し、高品質な情報開示に注力できる体制を整えます。このサービスは、機関投資家対応や決算準備、株主総会での活用を中心に、幅広い部署での利活用が開始されています。",業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000258.000030192.html),S saeki kazuhiro
テクノロジー,アンドドット株式会社,全国の大学で生成AI活用、教育の質向上に向けた取り組み始まる京都光華女子大学の教授向けに,アンドドット株式会社は、京都光華女子大学の教職員向けに生成AI活用の研修を実施しました。この研修は、生成AI技術に対する教育現場での向き合い方を探るために企画され、参加者は生成AIの基礎から応用までを学びました。参加者からは、教育現場での活用方法を具体的にイメージできたとの声が寄せられました。,業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000017.000125579.html),茨 茨木雄太
金融・保険,一般社団法人金融データ活用推進協会,「金融生成AI実務ハンドブック」公開のお知らせ - PR TIMES,一般社団法人金融データ活用推進協会は、生成AIワーキンググループにおいて「金融機関における生成AIの実務ハンドブック」を公開しました。これは、生成AIの活用による顧客サービスの向上や業務効率化を目指し、金融機関での実務に役立つガイドラインを提供するものです。,業務プロセス改善,prtimes.jp/mai…7.html (https://prtimes.jp/main/html/rd/p/000000018.000103937.html),S saeki kazuhiro
コンサル・士業,"PwC
                                                                    Japanグループ","PwC
                                                                Japanグループ、生成AIを活用した企業のサステナビリティ経営成熟度診断「Sustainability
                                                                ...","PwC Japanグループは、生成AIを活用した「Sustainability Value
                                                                Assessment」を提供開始。企業のサステナビリティ経営の現状把握と経営戦略を支援するサービスで、生成AIと専門知識を組み合わせた診断を提供。これにより、企業の経営戦略の策定・実行をサポートする。",業務プロセス改善,pwc.com/jp/…1.html (https://www.pwc.com/jp/ja/press-room/sustainability-value-assessment240531.html),K kosuke takaki
コンサル・士業,株式会社三菱総合研究所,生成AIによる提案書作成支援ツールを開発 | 株式会社三菱総合研究所のプレスリリース,株式会社三菱総合研究所は、生成AIを活用した提案書作成支援ツールを開発し、社内で試験的に利用を開始しました。このツールは提案・営業活動の迅速化、ナレッジ共有、人材早期育成を目的としており、今後は社外へのサービス提供も検討しています。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000120.000050210.html),K kosuke takaki
コンサル・士業,"デロイト
                                                                    トーマツ グループ","デロイト トーマツ、プライム上場企業における生成AI活用の意識調査～社内の利用割合が ... -
                                                                Deloitte","デロイト トーマツ
                                                                グループは、プライム市場上場の企業を対象に生成AI活用に関する意識調査を実施し、その結果を発表しました。多くの企業が生成AIを業務効率化のために導入しており、利用割合が高いほど意思決定スピードや生産性向上の成果を感じることが分かりました。約6割弱の企業が生成AIサービスの自社開発に踏み出しており、生成AIが企業の業務や組織に大きな影響を与えていることが明らかになりました。",既存事業の価値向上 業務プロセス改善,.deloitte.com/jp/…0.html (https://www2.deloitte.com/jp/ja/pages/about-deloitte/articles/news-releases/nr20240530.html),K kosuke takaki
テクノロジー,LINEヤフー株式会社,"【Yahoo!知恵袋】生成AIによる回答を表示する「AI回答機能」にAnthropic 社のClaude
                                                                3を追加","LINEヤフー株式会社が運営する「Yahoo!知恵袋」は、生成AIによる回答を表示する「AI回答機能」にAnthropic社のClaude
                                                                3を追加しました。これにより、ユーザーは2種類の生成AIからの回答を得ることができ、回答のバリエーションが広がります。",既存事業の価値向上,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000486.000129774.html),茨 茨木雄太
教育,スタディポケット株式会社,学校向け生成AIサービス「スタディポケット」、山口県の中学校において - PR TIMES,"スタディポケット株式会社が山口県教育委員会から生成AIを活用した学習アプリケーションの提供業務を受託し、2024年6月からサービスを開始する。生徒の主体的な学習を促進するアプリケーション「スタディポケット
                                                                for STUDENT」を提供し、実証モデル校での導入を支援する。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000046.000049664.html),茨 茨木雄太
テクノロジー,サークレイス株式会社,"サークレイス、「Salesforce 生成AI & Salesforce Data Cloud
                                                                PoC（概念実証）支援パッケージ ...","サークレイス株式会社は、Salesforceの生成AIとData
                                                                Cloudを活用したPoC支援サービスを提供開始した。企業の生成AI導入におけるリスクを軽減し、顧客体験の向上やマーケティング戦略の最適化を目指す。このサービスは、Salesforce環境内でのAI機能検証をサポートし、導入効果を最大化することを目的としている。",業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000039.000071975.html),茨 茨木雄太
メディア・広告・出版,ゲッティイメージズジャパン株式会社,"世界有数のデジタルコンテンツカンパニーゲッティイメージズ生成AI活用指針をまとめたレポート
                                                                ...",ゲッティイメージズが、生成AI活用に関する指針をまとめたレポート「AI時代の信頼構築」を発表した。消費者の信頼を得る上で「本物」の画像や映像が重要であることを示し、AI生成画像を活用する際の透明性や真正性の重要性を強調している。,その他,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000039.000018083.html),田中宏明
公共・行政 公共・自治体,デジタル庁,テキスト生成AI利活用におけるリスクへの対策ガイドブック（α版） - デジタル庁,デジタル庁は、生成AIの利活用におけるリスクとその対策についてまとめた「テキスト生成AI利活用におけるリスクへの対策ガイドブック（α版）」を公開しました。このガイドブックは、行政業務での生成AIの適切な利活用を目指し、技術検証の結果を基にした技術的なレポートです。,業務プロセス改善,digital.go.jp/res…debook (https://www.digital.go.jp/resources/generalitve-ai-guidebook),S saeki kazuhiro
製造,株式会社日立製作所,"日立とGoogle Cloud、生成AIを活用したイノベーション加速、生産性向上をめざし、戦略的
                                                                ...","株式会社日立製作所とGoogle
                                                                Cloudが生成AIを活用した企業のイノベーションと生産性向上のため、戦略的アライアンスを締結。日立はGoogle
                                                                Cloudの生成AIモデルとクラウド技術を活用し、企業の課題解決に向けた新組織を設立し、製品やサービスを強化する。",新規事業の創出 既存事業の価値向上 業務プロセス改善,hitachi.co.jp/New…a.html (https://www.hitachi.co.jp/New/cnews/month/2024/05/0529a.html),茨 茨木雄太
テクノロジー,株式会社スキルアップNeXt,生成AIによる問題作成支援ツール「ExamAI」リリース - PR TIMES,株式会社スキルアップNeXtが生成AIによる問題作成支援ツール「ExamAI」をリリースしました。このツールは検定試験や模擬試験などの問題作成支援を行い、作問時間の軽減や問題の一元管理を可能にします。AI技術を活用して、オリジナルデータベースやカスタムテンプレートを使った問題生成が行えます。,業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000124.000035215.html),茨 茨木雄太
テクノロジー,株式会社ソフトクリエイト,生成AI型チャットボット「Safe AI Bot」をリリース - PR TIMES,"株式会社ソフトクリエイトは、生成AI型チャットボット「Safe AI
                                                                Bot」をリリースしました。このチャットボットは大規模言語モデルを利用し、商品カタログや問い合わせ履歴をアップロードするだけで自社ホームページに設置可能です。1分で作成でき、安全なデータ管理を提供します。",新規事業の創出,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000024.000012489.html),茨 茨木雄太
コンサル・士業,株式会社リブ・コンサルティング,「生成AIアプリケーション カオスマップ2024」を公開！ - PR TIMES,"株式会社リブ・コンサルティングが「生成AIアプリケーション
                                                                カオスマップ2024」を公開。生成AI市場の全体像を捉えることを目的とし、生成AIビジネスのアプリケーションレイヤーで成長する企業を紹介。生成AI関連の新規事業や既存業務の効率化に関するコンサルティングニーズに対応するため、グローバルスタートアップデータベースから選出した171社を紹介した。詳細レポートのダウンロードも可能。",新規事業の創出 業務プロセス改善,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000192.000042601.html),K kosuke takaki
テクノロジー,パーソルプロセス＆テクノロジー株式会社,コンタクトセンター業界で期待が高まる、音声データの生成AI活用を支援する「デジタル ...,パーソルプロセス＆テクノロジー株式会社は、コンタクトセンター業界向けに「デジタルコンタクトセンター構築サービス」を提供開始しました。このサービスは、生成AIを活用した音声データのテキスト化やFAQ検索の効率化などを支援し、業務プロセスを改善します。,業務プロセス改善,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000040.000124841.html),茨 茨木雄太
テクノロジー,日本アイ・ビー・エム株式会社,IBM Concert：生成AIのインサイトで業務を管理 - PR TIMES,"IBMは、生成AIを活用した業務管理ツール「IBM
                                                                Concert」を発表しました。このツールは、watsonx
                                                                AIを搭載し、アプリケーションの運用を効率化するためのインサイトを提供します。ユーザーはアプリケーションの詳細なビューを得ることで、コンプライアンスのプロセスを効率化し、業務の効率化を図ることができます。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000500.000046783.html),茨 茨木雄太
テクノロジー,"Kyndryl
                                                                    Holdings, Inc.",キンドリル、NVIDIAと提携し生成AI対応ソリューションの導入を加速 - PR TIMES,"Kyndryl Holdings,
                                                                Inc.はNVIDIAと提携し、生成AI対応ソリューションの導入を加速させるためのサービスを提供しています。Kyndryl
                                                                Bridgeプラットフォームを活用し、AI開発と実装の全てのライフサイクルをサポートします。これにより、各業界での生成AIの迅速な拡張と競争優位性の維持を目指しています。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000100.000089286.html),茨 茨木雄太
テクノロジー,カスタマークラウド株式会社,"AI搭載！スマホで勤怠管理「ドットAI勤怠」の提供をLarkと識学の代理店カスタマークラウドが
                                                                ...",カスタマークラウド株式会社がスマートフォンで利用可能なAI搭載の勤怠管理アプリ「ドットAI勤怠」を提供開始。生成AI「ChatGPT」やAIチャットボット「Coze」などを活用し、企業のDXと生産性向上を実現する。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000320.000099810.html),茨 茨木雄太
テクノロジー,株式会社ワークスアプリケーションズ,"生成AIコンテストで「World Wide Learning賞」を受賞 自社製品「Sudachi」活用
                                                                「前処理の鬼 ...","株式会社ワークスアプリケーションズが、自社製品「Sudachi」を活用し、「World Wide
                                                                Learning賞」を受賞した。生成AIコンテストでの受賞は、表記ゆれへの対応やデータ読込の技術が高く評価された結果である。",既存事業の価値向上,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000309.000011485.html),茨 茨木雄太
教育,スタディポケット株式会社,学校向け生成AIサービス「スタディポケット」岐阜市と共同で、学校での生成AIの実証事業を開始,スタディポケット株式会社は岐阜市と共同で、中学校での生成AI活用の実証事業を開始しました。生徒向けには生成AIを活用した学びの支援を、教職員向けには校務の負担軽減を目的としています。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000045.000049664.html),茨 茨木雄太
教育,株式会社SAMURAI,株式会社SAMURAIが独自開発！生成AIを最大限活用した「社内ChatBotの開発秘話」を公開,"プログラミングスクール「SAMURAI
                                                                ENGINEER（侍エンジニア）」を運営する株式会社SAMURAIは、生成AIを活用して独自開発した「社内ChatBot」の開発秘話をホワイトペーパーで公開しました。生成AI推進チームを発足し、2024年には社内外向けのChatBotシステムをリリースしています。",業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000163.000047683.html),茨 茨木雄太
小売・流通・商社,株式会社フジテックス,フジテックスが「exaBase 生成AI」の販売を開始〜データ連携の活用ノウハウを顧客に提供,"株式会社フジテックスが生成AIサービス「exaBase
                                                                生成AI」を活用し、営業人員の即戦力化を実現した。フジテックスはこのサービスの販売代理店契約を締結し、2万社以上の中堅・中小企業に提案を行っている。",業務プロセス改善,exawizards.com/arc…27448/ (https://exawizards.com/archives/27448/),K kosuke takaki
テクノロジー,GreenSnap株式会社,生成AIで庭やアプローチ等の外構をデザインする「gardenAI（ガーデンエーアイ）」の提供を開始,GreenSnap株式会社は、生成AIを活用して庭やアプローチなどの外構デザインを行う「gardenAI」を提供開始しました。このサービスは、施工業者と発注者が完成イメージを容易に共有できるようにし、顧客満足度の向上や売上増を期待しています。画像をアップロードし、生成AIでリアルな完成イメージをデザインすることで、低コストでスピーディーに高品質な外構デザインを提供します。,新規事業の創出,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000119.000041711.html),茨 茨木雄太
テクノロジー,株式会社キャスター,"キャスター、オルツと生成AIを活用したプロダクト開発・サービス運用事業に関する合弁会社の
                                                                ...",株式会社キャスターと株式会社オルツは、生成AIを活用したプロダクト開発・サービス運用事業に関する合弁会社の組成に合意しました。キャスターのリモートワーク技術とオルツのAI技術を組み合わせ、労働生産性を高める新たなプロダクトを開発する予定です。,新規事業の創出,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000219.000012003.html),茨 茨木雄太
テクノロジー,株式会社OpenFashion,"ファッション業界向け生成AIツール「Maison
                                                                AI」が最新のChatGPTモデル“GPT-4o”に対応！","株式会社OpenFashionは、ファッション業界向けの生成AIツール「Maison
                                                                AI」を提供しており、最新のChatGPTモデル“GPT-4o”に対応した機能を発表しました。このツールは業務効率化や新規事業の創出、教育分野で利用されています。新機能として画像解析機能が追加され、ファッションデザイナーやマーケティング担当者向けのAIエージェントの性能が向上しました。",新規事業の創出 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000109.000012284.html),茨 茨木雄太
金融・保険,株式会社MILIZE,"AIと金融DXのMILIZE、生成AIを活用した株式銘柄検索エンジン「Kabu
                                                                Ad（α版）」を開発","株式会社MILIZEは、生成AIを活用した株式銘柄検索エンジン「Kabu
                                                                Ad（α版）」を開発しました。このエンジンは、生成AIを用いて膨大なデータから投資機会を検出し、個人投資家に分かりやすい情報を提供することを目的としています。クォンツ・リサーチ社との協業により、簡単に情報を確認できる環境を整え、投資家の裾野を広げることを目指しています。",新規事業の創出,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000188.000034351.html),S saeki kazuhiro
テクノロジー,株式会社Gunosy,"GPT-4搭載、業務支援特化生成AIサービス「ウデキキ」がGoogle
                                                                Chromeの拡張機能に新登場！","株式会社Gunosyは、GPT-4搭載の業務支援特化生成AIサービス「ウデキキ」をGoogle
                                                                Chromeの拡張機能として新たにリリースしました。「ウデキキ」は、業務の効率化を支援する法人向けの生成AIサービスです。新たなChrome拡張機能により、ユーザーは閲覧しているページ内でシームレスに生成AIを利用でき、情報収集や資料作成、誤字脱字チェックなどを効率的に行うことが可能になります。",業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000104.000031854.html),茨 茨木雄太
テクノロジー,株式会社リゾーム,"全国商業施設データと生成AIでリーシング業務を支援 商業施設リーシングAI「PROCOCO
                                                                ...","株式会社リゾームは、商業施設リーシングAI「PROCOCO」をバージョンアップし、全国商業施設データと生成AIを活用してリーシング業務を支援するサービスを提供します。このサービスは、MicrosoftのAzure
                                                                OpenAI
                                                                Serviceを利用し、商業施設内での空床化やスタッフ不足の問題を解決することを目的としています。生成AI技術を用いて、ショッピングモールのショップ候補リストを生成し、リーシング業務の効率化を図ります。",業務プロセス改善,atpress.ne.jp/news/395199 (https://www.atpress.ne.jp/news/395199),茨 茨木雄太
製造,株式会社日立製作所,生成AIを活用し、システム開発のトランスフォーメーションを加速 - 日立製作所,株式会社日立製作所は、生成AIを活用してシステム開発の効率化を目指し、新たな開発フレームワークを整備。生成AI共通基盤を活用し、ソフトウェアエンジニア不足の課題解決を図る。社内外プロジェクトへの適用や機能強化を進め、JCBとの協力で開発標準の整備を検証中。,業務プロセス改善,hitachi.co.jp/New…1.html (https://www.hitachi.co.jp/New/cnews/month/2024/05/0521.html),茨 茨木雄太
建設・不動産,前田建設工業株式会社,"生成AIスタートアップのアドバンシー、土木建築業界への生成AI導入で前田建設工業との協業を
                                                                ...",アドバンシーと前田建設工業が、土木・建築現場の課題解決を目的に生成AIの協業を開始。特設ウェビナーを開催し、生成AI導入の勘所を提供。協業を通じ、建設業のDX推進に取り組む。,業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000006.000125282.html),S saeki kazuhiro
公共・行政,横須賀市,生成AIを活用したお悩み相談チャットボット公開実験スタート | 横須賀市のプレスリリース,横須賀市は、AI戦略アドバイザーの監修のもと、市民の悩み相談に対応するチャットボット“ニャンぺい”の公開実験を開始しました。未完成の状態で公開し、不具合を収集・改善することを目的としています。将来的には行政サービスの向上を目指し、チャットボットの安全性と信頼性を高める計画です。,新規事業の創出,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000134.000128894.html),茨 茨木雄太
公共・行政 公共・自治体 エンターテインメント,国立研究開発法人科学技術振興機構,オンライン展示体験サイト「MIRAI-Bit」を公開 | 日本科学未来館 (Miraikan),日本科学未来館がオンライン展示体験サイト「MIRAI-Bit」を公開し、生成AIを使ったキャラクターとの対話を通じて未来を考える機会を提供している。,既存事業の価値向上,miraikan.jst.go.jp/new…5.html (https://www.miraikan.jst.go.jp/news/press/202405203475.html),茨 茨木雄太
テクノロジー,株式会社QTnet,法人向け生成AIプラットフォーム 「QT-GenAI」最新AIモデル追加など大幅アップデート！,"株式会社QTnetが法人向け生成AIプラットフォーム「QT-GenAI」の大幅アップデートを発表。新たにGoogle
                                                                Cloudの「Gemini1.5 Pro」、Azure OpenAIの「GPT-4
                                                                Turbo」など最新AIモデルを追加し、利用シーンに応じたAIモデルの選択が可能に。また、初心者でも容易に利用できるプロンプト自動生成モード機能を搭載し、セキュアな接続オプションも提供。「QT-GenAI」は今後も生成AI技術を取り入れ、実用的な生成AIサービスを目指す。",業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000066.000030334.html),茨 茨木雄太
テクノロジー,GMO教えてAI株式会社,"生成AIプロンプトポータル「教えてAI byGMO」、最大6つのAIモデルを同時実行できる『教えてAI
                                                                ...","GMO教えてAI株式会社が、最大6つの生成AIモデルを同時に実行できる新機能『教えてAI
                                                                一発検索』をリリース。これにより、ユーザーは複数のAIモデルを比較しながら最適なAIを選択できる。新たに「GPT-4o」や「Gemini
                                                                1.5 Flash」なども利用可能になり、AI産業に新たな価値を提供し続けることを目指す。",既存事業の価値向上,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000004405.000000136.html),茨 茨木雄太
教育,株式会社プリファード,"情報セキュリティに対応した教育機関向けプライベート生成AIクラウド「学校AI」、経産省「働き
                                                                ...",株式会社プリファードが提供する教育機関向けプライベート生成AIクラウド「学校AI」が経済産業省の補助金に採択され、一定期間無償で提供される。これにより、全国の教育機関での生成AIの導入を支援し、業務効率化と負担軽減を促進する。,新規事業の創出 業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000002.000126392.html),茨 茨木雄太
テクノロジー,アンドドット株式会社,法人向け生成AIプラットフォーム「QT-GenAI」、機能とセキュリティ面を大幅アップデート,アンドドット株式会社が株式会社QTnetと共同開発した法人向け生成AIプラットフォーム「QT-GenAI」を大幅にアップデートしました。最新のAIモデルを搭載し、ユーザーインターフェースを「チャット型」から「モード型」に変更するなど機能を強化しました。新たに高度な画像の解説やOCR機能を搭載し、手書き情報のデジタル化やグラフの分析が可能になりました。,業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000015.000125579.html),茨 茨木雄太
テクノロジー,株式会社FIXER,"株式会社FIXER、生成AIプラットフォーム「GaiXer」にOpenAI社のGPT-4oを搭載 - PR
                                                                TIMES",株式会社FIXERは、生成AIプラットフォーム「GaiXer」にOpenAI社のGPT-4oを搭載したことを発表しました。GaiXerは複数の大規模言語モデルを選択可能で、ユーザーに高度な文章生成や質問応答を提供するサービスです。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000084.000009536.html),茨 茨木雄太
テクノロジー,株式会社ヘッドウォータース,"Microsoft AI Dayのセッション「【JR西日本】生成 AI によるデジタル戦略推進に向けた挑戦
                                                                ～高 ...","JR西日本は生成AIを活用したデジタル変革を推進しており、ヘッドウォータースがその一部を支援している。Microsoft
                                                                AI Dayのセッションで、この取り組みが紹介された。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000156.000018045.html),茨 茨木雄太
テクノロジー,富士通株式会社,"ナレッジグラフと大規模言語モデルを融合する研究開発を強化することで、生成AIの信頼性を高め
                                                                ...",富士通株式会社は、生成AIとナレッジグラフを融合させる新技術の開発を強化し、業務活用の信頼性を高めることを目指しています。この技術は、業務特化型の大規模言語モデル（LLM）を活用し、法務や金融、医療分野での具体的な適用を進めることが期待されています。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000298.000093942.html),茨 茨木雄太
建設・不動産,清水建設株式会社,ギブリー導入事例：清水建設、全従業員向けに「法人GAI」を導入。生成AIによるDXを推進し,清水建設株式会社が、株式会社ギブリーの法人向けChatGPT活用プラットフォーム「法人GAI」を導入し、生成AIによるDXを推進し、生産性向上を目指す取り組みを行っている。法人GAIは従業員の業務効率化や余剰時間創出に役立てられており、今後も利用拡大と業務効率化を促進する予定。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000280.000002454.html),S saeki kazuhiro
製造,"NVIDIA
                                                                    Corporation","NVIDIA、生成AIインフラ構築をとおして日本のソブリンAIの取り組みを支援 - PR
                                                                TIMES",NVIDIAは日本の生成AIインフラの構築において中心的な役割を果たし、GMOインターネットグループ株式会社などの企業と協業してクラウドインフラを整備する。日本政府はこの取り組みを支援し、AI導入が促進される。,新規事業の創出,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000466.000012662.html),S saeki kazuhiro
テクノロジー,"株式会社PKSHA
                                                                    Communication","生成AI時代のカスタマーサポートをテーマに「PKSHA AI Summit for Contact
                                                                Center 2024」を ...","株式会社PKSHA
                                                                Communicationは、カスタマーサポート業界向けに生成AIの可能性を探る「PKSHA AI Summit
                                                                for Contact Center
                                                                2024」を開催。生成AIを活用して顧客エンゲージメントを向上させる方法について議論し、業界の専門家を招いている。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000152.000022705.html),茨 茨木雄太
テクノロジー,株式会社シャノン,"BtoB記事コンテンツの作成と活用における「生成AI」と「ひと」の役割分担とは - PR
                                                                TIMES","株式会社シャノンは、マーケティング専用の生成AI「シャノン
                                                                コンテンツアシスタント」を使用して、BtoB領域での記事コンテンツ作成の課題解決をテーマにしたウェビナーを開催します。ウェビナーでは、生成AIと人間の役割分担や記事作成の効率化について詳しく説明します。",業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000406.000002984.html),茨 茨木雄太
テクノロジー,株式会社alma,"国内初※1インサイトマネジメントSaaS「Centou」が、生成AIを活用したインサイト抽出の機能を
                                                                ...","株式会社almaは、インサイトマネジメントSaaS「Centou」において、生成AIを活用した自動インサイト抽出の機能を試験的に提供開始しました。この機能により、ユーザーインタビューや顧客ヒアリングなどのデータを分析するプロセスでの時間短縮が可能になります。また、「Centou
                                                                Copilot」として提供され、ユーザーリサーチにおける分析効率を大幅に向上させます。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000035.000037235.html),茨 茨木雄太
公共・行政 公共・自治体,デジタル庁,2023年度 デジタル庁・行政における生成AIの適切な利活用に向けた技術検証を実施しました,デジタル庁は、生成AIの適切な利活用に向けた技術検証を実施しました。この検証では、生成AIを行政業務にどのように利用すべきかの知見を獲得し、業務改善の効果を推定しました。技術検証期間は2023年12月から2024年3月まで行われ、デジタル庁を含む中央省庁の職員や一部自治体を対象に、テキストベースの生成AIを活用した業務改善の検証を実施しました。,業務プロセス改善,digital.go.jp/new…e95715 (https://www.digital.go.jp/news/19c125e9-35c5-48ba-a63f-f817bce95715),S saeki kazuhiro
テクノロジー,株式会社アイスマイリー,アイスマイリー、AIの導入を促進させる「生成AI導入ガイドブック」を本日リリース - PR TIMES,株式会社アイスマイリーは、AI導入を促進するための「生成AI導入ガイドブック」を公開しました。このガイドブックでは、生成AIのユースケースやサービスの特長がまとめられており、実績のあるエキスパート企業7社が生成AIの最新活用事例を紹介しています。,新規事業の創出 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000342.000053344.html),茨 茨木雄太
